Nama_Usaha,Alamat_Usaha,Latitude,Longitude
KRUPUK DUA PUTRI,PADASAN RT.009 RW.004,,
Latif Las,"Dusun Salak RT/RW 005/003, Taal, Tapen",,
TERNAK BURUNG BAROKAH,KASEMEK RT.019 /010,,
Rengginang barokah,Dusun lapangan RT 005 RW 002 desa sumbersari kecamatan Maesan kabupaten Bondowoso,,
Proses Pengolahan Makanan Pasca Panen,Jl. Sumber Anyar Dusun Kebundara,,
SINGKONG LANCAR,Desa sumber tengah,,
Taxi Online,DESA DADAPAN RT001/RW001,,
Taksi Online,DADAPAN RT001/RW001,,
UD. MITRA USAHA,Maskuning Wetan RT. 012 RW. 002,,
"UD. "" MAKMUR """,Desa Sukosari Kidul Rt.016/Rw.004,,
GRUJUGAN KIDUL BATU BATA,Dusun Grujugan Kidul RT 19 RW 03,,
PENJUAL TANGLOR,DESA LEPAK RT.06 RW.01,,
AM Buku dan Percetakan,"Jln. KH. Agus Salim, Gang X, No.2, RT. 15, RW. 04",,
PERUSAHAAN BATU BATA,Dusun Krajan RT/RW : 003/001 Desa Pejagan Kecamatan Jambesari Darus Sholah Kabupaten Bondowoso,,
TOKO LANCAR JAYA,DUSUN KRAJAN RT.032 RW.006 JAMBEANOM,,
UD RAHMA,Desa Tegal MejinRT. 002 RW. 001,,
Furniture sofa bakpao,Rt17,-7.9134402,113.8222709
Konter,Dusun krajan,,
NADYA COLLECTIONS,Desa Tegalmijin,-7.98795,113.8253127
Budidaya jamur tiram,Krajan II RT.07/RW.01 DESA.SUMBERWRINGIN KEC.SUMBERWRINGIN,,
""" BAROKAH """,Desa Pecalongan RT.005 RW.001,,
SINAR BARU,JL. SITUBONDO-WONOSARI,-7.8868878,113.89253
TOKO SUBUR,DSN LUMBUNG RT/RW 003/002 ,,
Pendidikan Anak Usia Dini Darul Falah,Jl. K. Massyur ,,
Produksi Krupuk,PAKUNIRAN RT. 06 RW. 02 MAESAN BONDOWOSO,,
Jigor Ulek Cak Qohir,"Dusun Krajan Rt 04 Rw 02, Desa Grujugan Lor kecamatan Jambesari Darus Sholah",,
KERUPUK IKAN JEJE,Jl. Diponegoro Rt. 025 Rw. 005 ,,
PENGRIAS PENGANTIN,Dusun Kaliayar Krajan RT. 006 RW. 001,,
UD MAULANA,Dusun Paleran RT.006 RW.002,,
Akbar Elektrinik,Dusun kepunan desa jeruk soksok kec. Binakal Kab. Bondowoso,,
PENJUAL MINUMAN KELILING,DESA BOTOLINGGO RT.36 RW.12,,
Produksi kue,Blindungan gg tetong rt17 rw04,,
TANI ROZAK,GRUJUGAN LOR RT/RW 010/002,,
UD. ANTARA,Dusun Kaliayar Selatan Rt 017 RW. 004 Tamanan,,
,Dusun Kaliayar Selatan RT. 017 RW. 004 Tamanan,,
pertanian,lojih,,
AW,petung rt 06 rw 02 kecamatan curahdami kabupaten bondowoso,,
UD  PATENANG,DESA GAYAM RT.001 RW.011,,
Pedagang eceran,dusun kerajan,,
WAFI BERKAH,DESA CURAHPOH RT 005 RW 001 KEC. CURAHDAMI - BONDOWOSO,,
WARUNG ALZARO,Desa Ramban Kulon Rt. 008 Kec. Cermee Kab. Bondowoso,,
Tempe Fitrah,"Jalan raya cermee, desa suling kulon, RT 11",,
perternakan,jetis rt18/07,,
WAFIE JAYA,Dusun Krajan RT 001 RW 001,,
MAYA BUAH,"Botolinggo, Rt: 021 Rw: 008",,
Royal Cokelat dan Es Cream,Imam Bonjol RT. 18 RW. 04 Kademangan Bondowoso,-7.9156615,113.830161
UD MITRA PERDANA,HOS COKROAMINOTO RT 05 RW 01,,
Bakso Keliling,Dusun Karang Malang RT 021 RW 005,,
KRIPIK IBU FARIS,DESA JATITAMBAN RT 011/RW 004,,
"UD. ""PUTRA TUNGGAL""",JALAN PELITA GANG SUMBER NOMER 83 RT.015 RW.006,,
Ternak dan penjualan kambing,"Tamanan,Bondowoso",-8.0163221,113.8264768
De Rosy,jl. Penjaitan gg.BOOR. NO 46 RT 001 RW 001 DESA TAMANSARI,,
WARUNG MAKAN,Lengkong,-8.0012986,114.0038809
AHLI GIGI JAYA KUSUMA,PEKALANGAN RT.018 RW.03,,
PEDAGANG,SUKOWONO,-8.0096136,113.9134508
UD BAROKAH,DESA TAMANAN RT.023 RW.005,,
Pertanian,Dusun Salak rt/rw 04/02,,
BAKSO STADION,Jl. LETNAM RANTAM RT.034 RW.007,,
MAKANAN,SELOLEMBU RT 006/RW 002,,
UD ABDULLAH FARM,JAMBESARI RT 12 RW 03,-7.9793011,113.841238
Abdullah,Sempol Kec.Prajekan,,
UD AN NISA ,DUSUN TAHUAN KALIANYAR RT.022 RW.005,,
INDUSTRI TAHU,DUSUN GUNUNG MALANG RT.30 RW 07 ,,
JUAL ANEKA GORENGAN ,DUSUN DAWUHAN RT 012/ 003,,
ALIF JAYA CELL,DESA SUMBER KEMUNING RT.027 RW.007,,
UD BERSIH SEGAR ALAMI,JL RE MARTADINATA 66,,
Cabe pak ela,Desa mengok Rt 011 Rw 004,,
ARABIAN,Jl. Raya Situbondo RT.011 RW.004,,
PANGSIT MIE AYAM BAROKAH,DUSUN TAMAN RT 009 RW 002 ,,
TOKO BERKAH,DESA KLABANG RT.008 RW.002,,
Petani,Petung rt/rw:02/01,-7.84624,113.7369977
Perkebunan tembakau,Ardisaeng,-7.8965543,113.7255254
"PENJAHIT "" DANI """,Kampung Haji RT.002 RW.001,,
GENTENG TIGA SAUDARA,KRAJAN RT.002 RW.001 KONCER KIDUL,,
Toko Barokah,Dusun Krajan RT 004 RW 001,,
Mina Sejati,Dusun Masjid Rt 003 Rw 001,,
Sayuran,Curahdami Rt 02 Rt 01,-7.9129901,113.7915695
JUAL TAHU,Jl.pakisan desa pekalangan rt21 rw04,,
ABDUR ROFIK,Ds. Tegalampel RT.06 Rw.01,,
ABDUR ROFIK BERAS,Sekarputih RT.021 RW.006,,
ABDUR ROFIK SELEP,Sekarputih Rt.021 Rw.006,,
"UD "" RAHMAN """,Desa Sukosari Kidul RT.13 RW.03 Kec.Sumber Wringin,,
MEUBEL ROZI,SUMBERMALANG RT/RW 006/002,,
Toko ANI,Dusun Krocok oloh RT.03 RW.01,,
prdagangan,jetis rt 15 rw 06,,
Abdul Sablon,"Dusun Krajan Atas, Rt 003/Rw 001",,
TERNAK SAPI PAK HERMAN,SUKOKERTO RT.015 / 006,,
Besek Aira,Desa ambulu RT.10 RW.003,,
Rahman_lele,dusun waduk,,
KIOS BAROKAH,Jalan Raya Kawah Ijen RT. 033 RW. 004,,
POKTAN ANDUNG TANI SATU,Desa Andungsari Rt 06 Rw 03,,
UD RAHMAN MAKMUR,Traktakan RT.07/02,,
KOPIMU,SUCULOR RT.011 RW.003,,
,SUCOLOR RT.011 RW.003,,
KEDAI KUYA,Jln. Situbondo RT. 033 RW. 011 Ds. Wonosari Kab. Bondowoso,,
Petani Sukses,Desa Gadingsari Rt.08 Rw.02,,
UD SINAR BARU,KRAJAN RT 02 RW 01,-8.0113525,113.7718239
PENGUSAHA KAMBING,Dusun Kramat RT 001 RW 004,,
UD BAROKAH SEJATI,JL.LETNAM RANTAM,,
STARS.CLOTING.CO,Desa Padasan RT 09 RW 04,,
PERTANIAN JAYA,SULEK,-7.9844414,113.9350963
Pengusaha tanaman pepaya,Dadapan bondowoso,-7.975427,113.7938979
MADU HUTAN GUNUNG RAUNG,"Dusun Krajan I, Rt: 005 Rw: 000",,
perdagangan,sumbermalang,-7.843344,113.7680581
SALES RAMBAK SAPI PAK TAUFIK,PEKALANGAN RT.018/003,,
SALAM JAYA,kh agussalim no 23,,
TOKO KEKUATAN,GRUJUKAN LOR,,
Fian Jaya,RT 003 RW 001,-7.9134402,113.8222709
TOKO TIGA PUTRA 2,Jl. Raya Pengarang Rt. 002 Rw. 003 Dusun Karang Tengah,,
RAJA TERAKHIR FARM,"Jambewungu, Wringin, Bondowoso ",,
WARUNG KOPI PAK SHOMAD,BATAAN RT.010 / 003,-7.9206249,113.8444367
"UD "" JAYA ""","Desa Rejo Agung,Dusun Plampang Utara Rt.018\Rw.004",,
Dea berkah,Desa kembang rt12 rw 04 kecamatan bondowoso kab.bondowoso,,
Penjual bakwan keliling,desa kademangan,,
air bor,pasarejo,-7.905684,113.8922203
TOKO NURUL JAYA,Dsn. Kepek Rt: 001 Rw: 001,,
Warung makanan barokah,Jl. Raya pakisan Lojajar Kec. Tenggarang,,
PETANI TEMBAKAU,DUSUN KRAJAN RT/RW 010/004,,
P3N NETWORK, desa koncer kidul rt 15 rw 06 kecematan tenggarang kabupaten bondowoso,,
ALVARO ANUGRAH,petung rt 01 rw 01 ,-7.84624,113.7369977
Sengon Balap,"Desa banyuputih, kec. Wringin, kab. Bondowoso",,
pertanian,jetis Rt 15 rw 07,,
Pertanian,Lojih rt:11/5,,
INDUSTRI BATU BATA,Desa Taman Rt 015 Rw 010,,
Jual beli hasil pertanian,"Desa Tapen , dusun bunotan  rt 36 rw 12 , jalan sampean baru ",,
JASA BANGUNAN,DUSUN KRAJAN RT/RW 020/003,,
perdagangan,jetis Rt 09 rw 04,-7.9546231,113.7920144
counter pulsa,dusun krajan,,
TOKO NABILA,Grujugan Rt. 001 Kecamatan Cermee Kab. Bondowoso,,
KERAJINAN,JLN IMAM BONJOLGG1,,
pertanian,Desa Jetis RT. 16 RW.07,,
pertanian,jetis rt 08 rw 03,-7.9546231,113.7920144
CAHAYA BINTANG,Dsn. Krajan RT. 005 RW. 001,,
,Dusun Krajan RT.005 RW. 001,,
TOKO JONG SAKERA,JALAN KAWAH IJEN BONDOWOSO DUSUN KEMIRIAN RT 037 RW 011 DESA WONOKUSUMO  ,,
TOKO '' AL- AMINAH '',BAJURAN Rt. 13,-7.817676,114.0453028
KOPERASI PONDOK PESANTREN MIFTAHUL ULUM,DESA SUCOLOR RT 024 / RW 006,,
,DESA SUCOLOR RR 024 / 006,,
Kedai Mie Jotos,Jl. DR. Sutomo II (Gg. Manggis) No. 760 Potos RT. 016 / 002 ,,
Warung Kacang,Gerobak,,
Penjual jus buah,PB SUDIRMAN,-7.9127901,113.8258163
PEDAGANG,DUSUN KRAJAN ATAS RT.09 RW.01,,
Warung enak,Jl. Brigpol Sudarlan RT.15 RW.04,,
TUSUK SATE KONCER MAS,DUSUN KAMPUNG BARU RT005/RW003,,
ABATA BAYU,Jalan Kolonel Sugiono 62 Kademangan Bondowoso,-7.9171767,113.8298193
UD BIN ALI,KH ASYARI RT.017 RW.004 ,,
UD BIN ALI ,JL. KH ASYARI RT.017 RW.004,,
DAGANG,PAKISAN,-7.9295436,113.8454491
Dhom Art&Miniature Furniture,JL.RE.Martadinata GG.Menang 36 RT/RW 32/08 Dabasah BONDOWOSO,,
CHERI@HYDROFARM,Dusun krajan rt 08 rw 03 ,,
PUTRI SAKINAH,LUMUTAN,-7.8168267,113.9807756
PREDATOR SABLON,Selatan sawah rt 01 rw 01,,
Toko imam,Desa Curahpoh RT 8 RW 03,,
Warung,DUSUN BATUAN RT/RW 003/001,,
BRSC (Bina Rumah Sehat Corporation),PANJAITAN RT.006 RW.002,,
Pedagang ,Kotinggi ,-7.9233984,113.7883929
"TOKO ""HADATU""",DESA CINDOGO RT.022 RW.009,,
Westcity.Net,Brigjen Katamso No. 41 RT 008 RW 002,,
Pedagang Premium Eceran,Dusun Krajan RT. 002 RW. 001,,
PARFUM,JL. MARTHADINATA,,
Toko Subur,"Kali Nangkaan, Dabasah, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68211",,
dbk catering,hos cokrominoto 77 RT 02 RW 01,,
PENJUAL BARANG PECAH BELAH KELILING,DUSUN KARANG KO'ONG RT.09 RW.06,,
Yung Coffe,dusun sendi desa bercak asri rt 15 kec cermee kab bondowoso,,
MEBEL PERINTIS JAYA 2,JL.MASTRIP RT.003 RW.001,,
UD. ALBY BAROKAH,Dusun Krajan Rt.005 Rw.002 ,,
,Dusun Krajan Rt.005 Rw.002,,
Peternakan Kambing,Kajar Rt 08 / Rw 02 Bondowoso,-7.9375867,113.8433413
BENGKEL LAS F2 BAROKAH,"JL DIPENOGORO RT 17,RW 4 KELURAHAN KOTAKULON KECAMATAN BONDOWOSO",,
Rahma Snack&Frozen,"Desa Sulek ,Kecamatan Tlogosari, Kabupaten Bondowoso
RT12, RW 06",,
Sahabat Kopi,Ramban Wetan RT.03 RW.02 Kecamatan Cermee Kabupaten Bondowoso,,
Pangkas rambut,"Jl.Kapten Piere Tendean ,Kotakulon,Badean,kec .Bondowoso",,
Dapur Bo'Ya,Kelurahan Nangkaan Kabupaten Bondowoso ,,
TOKO ANDA,Dsn Sumber Gading Onjur II 027/003,,
Rumah potong ayam,kh wahid hasyim,-7.9131954,113.830074
Pekebun,Kupang,-7.8976775,113.7147169
PEDAGANG KELILING,DUSUN KRAJAN RT.00 RW.02,,
APOTEK IKA FARMA,Jl.Kis Mangunsarkoro,,
Adam ROMBONG,"Jln. Letjen Supratman, (depan masjid at-taqwa Bondowoso",,
MLB (Mitra Lele Bondowoso),RT.016 / RW.003,,
Firman Coffee,Jln.Situbondo Rt 32/Rw 11,,
ADE RAWIT,Dusun Kidul Sawah Barat RT. 031 RW. 007,,
WARUNG NASI,Jln. Piere Tendean no 29 RT 22. RW 04 Badean Bondowoso,,
APIN JAYA,"PATEMON , TLOGOSARI, BONDOWOSO",,
Apotek Apoteker Adhie,"Jl. Hos Cokroaminoto, RT 4, RW 2",,
SASI ANGGREK,Jl. Mastrip Perum. Sukowiryo Indah A28,,
UD. TAPE MANIS 48 CAK BOWO,Jl.Sersan Atmari iaRT 11 RW 02,,
Gita Koi,Jl. Brigjen Katamso RT 033 RW 002,,
CIPTA KARYA MANDIRI,TANGSIL WETAN RT.006 RW. 002,,
Mitra Tani,Jurangsapi Rw58 Rw17 Tapen Bondowoso ,,
TOKO NASIONAL ELEKTRONIK,Jl.PB. Sudirman No.43 RT.020 RW.005,,
,Jl.PB.Sudirman No.43 RT.020 RW.005,,
,Jl.PB.Sudirman No.43,,
,Jl.PB Sudirman No.43,,
tempat service komputer,jl. letjen soeprapto 155,,
UD CINDY,DESA BERCAK RT.019 RW.000,,
TOKO,Pasar Pujer,,
Kevin Store,Dusun Tamanan Timur RT 17 RW 04 ,,
JUAL BUAH,DUSUN PASAR RT.04 RW.01,,
Pedagang arloji kaki lima,Alun-alun Kota Bondowoso,,
ANDINI FLOWER,Dusun Krajan RT 013 RW 001,,
TOKO TIMOR,Jalan KH Wahid Hasyim No.33 ( 194 A ),,
RUMAH KOS BAROKAH,Jln. Jendpol Sucipto Yudodiharjo Gg. Purbosari No. 44 Rt. 028 Rw. 006,,
UD SUMBER REJEKI,DESA BATAAN ,,
UD. BERKAH ABADI,Desa Jebung Lor RT 013 RW 001,,
"UD."" ADI JAYA """,Desa Pecalongan Rt.011/Rw.003,,
BENGKEL MOTOR,KLADI CERMEE BONDOWOSO,,
"Salon ""EMERALD""",Jl. Mayjen. Sutoyo no.19,,
ADI TANGLOR,Belakangnya Smp 1 Pujer ,,
PANGKALAN GAS ( ADI ) ,MANGLI ,-7.9704308,113.8906784
APOTEK SINAR MAESAN,GAMBANGAN RT 04 RW 01 KELURAHAN/DESA GAMBANGAN KECAMATAN MAESAN KABUPATEN BONDOWOSO,,
SERVICE/REPARASI HP,JL. LETJEN PANJAITAN RT/RW 002/001,,
UD Adi Jaya,Dusun krajan rt007 rw 002 desa rejoagung-sumber wringin-Bondowoso-jawa timur,,
CIMOL 46,DUSUN PAKEL RT.001 RW.001,,
ELEKTRO & BENGKEL,DUSUN WADUK RT.24 RW.06,,
adil sablon,Dusun Krajan Atas Rt 01/ Rw 01,,
Penjahit konveksi,Desa jatitamban kecamatan wringin kabupaten Bondowoso,,
Batik Ciprat,Jln. Letnan Rantam Rt : 018 Rw : 004,,
Bos Gemoy Farm,RT/RW 02/01 Tegal Pasir,,
Yon motor,Jl kh asyari rt 23 kademangan bondowoso,,
Rahadian Taylor,sekarputih rt033 / rw002,,
ADI MEUBEL,"Kelurahan/Desa Sumber Anom,
Kecamatan Tamanan,
Kab/Kota Kab. Bondowoso,
Provinsi Jawa Timur.",,
SULTAN JAYA,TLOGOSARI RT.005 RW.002,,
Mebel Barokah,Dusun Krajan RT 004 RW 002,,
PERCETAKAN ,Jl. Supriyadi 32 RT 003/RW 001,,
PENJUAL BAKSO & GORENGAN,DUSUN KRAJAN II RT.07 RW.02,,
AYAM GEPREK CAK AFAN,DESA PLALANGAN RT.11/RW03 PLALANGAN WONOSARI,,
ERZA KONVEKSI,"Grujugan Kidul, RT. 20 RW. 03",,
,Grujugan Kidul. RT. 20 RW. 03,,
CAKE & BAKERY,Dusun Krajan selatan Rt. 005 RW. 001,,
AV MOTOR,Dawuhan Rt. 010 Rw. 002 ,,
,Dawuhan Rt. 010 Rw. 002,,
BETA PRINT,Jl. KIS. Mangunsarkoro RT 10 RW 04,,
"TOKO "" AFIDA """,Krajan I Rt.004/Rw.001,,
Aviefa STUDIO,Dusun lapangan RT 5 RW 02,,
